"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder_with_rape_or_gang_rape","dowry_deaths","abetment_to_suicide_of_women","miscarriage","acid_attack","attempt_to_acid_attack","cruelty_by_husband_or_his_relatives","kidnapping_and_abduction_of_women_total","human_trafficking","selling_of_minor_girls","buying_of_minor_girls","rape","attempt_to_commit_rape","assault_on_women_with_intent_to_outrage_her_modesty","insult_to_the_modesty_of_women","dowry_prohibition","immoral_traffic_prevention_act_total","protection_of_women_from_domestic_violence_act","cyber_crimes_or_infor_tech_women_centric_crimes","prot_of_children_frm_sexual_viol_girl_child_victims","indecent_representation_of_women_prohibition","total_crime_against_women"
23,"2020-01-01","Himachal Pradesh","02","Solan","025","Solan",1.0,1.0,4.0,0.0,0.0,0.0,23.0,31.0,0.0,0.0,0.0,34.0,2.0,48.0,4.0,0.0,0.0,1.0,7.0,79.0,0.0,483.0
24,"2020-01-01","Himachal Pradesh","02","Una","026","Una",3.0,0.0,6.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,22.0,0.0,26.0,3.0,0.0,0.0,0.0,3.0,87.0,0.0,486.0
25,"2019-01-01","Himachal Pradesh","02","Solan","025","Solan",1.0,0.0,8.0,0.0,1.0,0.0,21.0,38.0,0.0,0.0,0.0,51.0,1.0,48.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,180.0
26,"2019-01-01","Himachal Pradesh","02","Chamba","016","Chamba",3.0,0.0,7.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,18.0,0.0,30.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,84.0
27,"2019-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,22.0,14.0,0.0,0.0,0.0,140.0,69.0,0.0,0.0,0.0,42.0,2.0,138.0,8.0,0.0,0.0,1.0,6.0,94.0,0.0,536.0
28,"2019-01-01","Himachal Pradesh","02","Kangra","018","Kangra",5.0,2.0,15.0,0.0,0.0,0.0,30.0,56.0,0.0,0.0,0.0,39.0,2.0,87.0,12.0,0.0,1.0,0.0,4.0,0.0,0.0,253.0
29,"2019-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
30,"2019-01-01","Himachal Pradesh","02","Kullu","020","Kullu",2.0,0.0,2.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,30.0,0.0,26.0,6.0,0.0,2.0,0.0,6.0,7.0,0.0,105.0
31,"2019-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
32,"2019-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,0.0,8.0,0.0,0.0,0.0,46.0,58.0,0.0,0.0,0.0,52.0,0.0,91.0,16.0,0.0,2.0,0.0,5.0,1.0,0.0,279.0
