"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder","attempt_to_commit_murder","simple_hurt","grievous_hurt","aslt_on_adult_women","sexual_harassment","assault_on_women_with_intent_to_disrobe","voyeurism","stalking","assault_of_children","insult_to_the_modesty_of_women","kidnapping_and_abduction","rape","attempt_to_commit_rape","rioting","robbery","dacoity","arson","criminal_intimidation","other_ipc_crimes","sc_st_prevention_of_atrocities_act","protection_of_civil_rights_act","total_crime"
23,"2020-01-01","Himachal Pradesh","02","Solan","025","Solan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"2020-01-01","Himachal Pradesh","02","Una","026","Una",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"2019-01-01","Himachal Pradesh","02","Solan","025","Baddi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"2019-01-01","Himachal Pradesh","02","Bilaspur","015","Bilaspur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"2019-01-01","Himachal Pradesh","02","Chamba","016","Chamba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"2019-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"2019-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30,"2019-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"2019-01-01","Himachal Pradesh","02","Kullu","020","Kullu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"2019-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahaul And Spiti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
